,질문,답변
0,대전지역 경력단절여성의 사례를 통한 일자리 미스매치와 성별 임금격차에 관한 논문을 찾아줘,"관련된 논문은 ""일자리 미스매치와 성별 임금격차에 따른 사회적 고용정책 방안 고찰 : 대전지역 경력단절여성의 사례를 중심으로""이며, 저자는 김형근이고, 발행연도는 2020년입니다. 이 논문에서는 대전지역에서 발생하는 일자리 미스매치 문제를 지역별과 직종별로 나누어 분석하고, 성별 임금격차의 특성을 금속가공제품 업종 종사원를 중심으로 조사했습니다. 이를 바탕으로 대전지역뿐만 아니라 다른 지역에서도 적용할 수 있는 사회적 고용정책의 수립방안을 모색하며, 성별 임금격차를 줄이고 일자리 미스매치 문제를 해결하기 위한 정책적 제언을 제시했습니다. 이 연구는 대전지역 경력단절여성의 사례를 통해 성별 임금격차와 일자리 미스매치 문제를 깊이 있게 조명하고 해결 방안을 모색하는 데 중요한 기여를 했습니다."
1,휴면예금 활용범위에 관한 한국과 일본 비교 연구 논문을 찾아주세요.,"관련된 논문은 ""휴면예금 활용범위에 관한 한국과 일본의 비교 : SDGs 관점을 중심으로""입니다. 이 논문은 네모토 저자에 의해 2020년에 발행되었습니다. 내용을 살펴보면, 2013년부터 2018년까지 시중은행의 휴면예금 잔액이 1,800여억원에 이르렀다고 합니다. 한국 정부는 이러한 휴면예금을 효율적으로 관리하고 활용하기 위해 휴면예금재단법을 제정하고, 재단을 설립하여 서민금융 및 복지사업 지원에 나섰습니다. 이법은 이후 서민금융생활지원법으로 확대 개편되었다고 합니다. 이 연구는 한국과 일본에서 휴면예금 활용범위를 SDGs(지속 가능한 개발 목표) 관점에서 비교 분석한 것으로, 이 두 국가에서의 휴면예금 활용 정책과 그 효과를 깊이 있게 탐구하고 있습니다."
2,한반도 대량살상무기 군비통제 추진방향에 대한 논문을 찾아줘.,"관련된 논문은 ""한반도 대량살상무기 군비통제 추진방향 : 이론 및 사례분석, 신뢰구축 방안을 중심으로""입니다. 저자는 박재완이며, 2020년에 발행되었습니다. 본 연구는 군비통제 이론의 측면에서 군사적 신뢰구축 조치와 운용적 군비통제를 어떻게 구별하고 적용해야 하는지, 신뢰의 본질과 그것을 담보할 수 있는 수단, 한반도의 항구적 평화체제 구축에 있어 대량살상무기 군비통제와 기존 재래식 군비통제 간의 차이를 탐구합니다. 또한, 이 연구는 대량살상무기 군비통제 추진방안을 제시하며, 한반도에서의 군비통제와 관련된 심층적 분석을 제공합니다."
3,일대일로 비판지정학적 연구 논문을 찾아줄 수 있나요?,"관련된 논문은 ""‘일대일로’에 대한 비판지정학적 고찰에 관한 연구 : 행위자-네트워크 이론(ANT)을 중심으로""입니다. 저자 김세윤은 2020년에 이 논문을 발표했습니다. 내용은 일대일로 계획에 대한 다양한 국제반응을 탐구합니다. 여기서 국제사회의 반응은 대체로 큰 관심과 기대, 그리고 냉담과 우려로 양분되며, 중국 내부에서도 소프트파워의 부족, 주변국들의 의혹 및 반발, 정치적 안정성 문제, 그리고 제3자적 위험에 대한 우려가 존재함을 지적합니다. 이 연구는 행위자-네트워크 이론(ANT)을 활용하여 일대일로 정책의 복잡한 관계망과 그 내부의 동기 및 외부 반응에 대해 깊이 있는 분석을 제공합니다."
4,북한의 여성차별철폐협약 국가이행보고서 분석 논문을 찾아줘,"관련된 논문은 ""북한의 ‘여성차별철폐협약 국가이행보고서’ 분석 : 제2·3·4차 통합보고서 고용복지 조항을 중심으로""이라는 논문입니다. 이 논문은 이철수에 의해 2020년에 발행되었습니다. 본 연구에서는 북한이 여성차별철폐협약의 국가이행보고서 제2·3·4차를 통해 고용복지 조항의 이행 상황을 어떻게 보고했는지를 분석하고 있습니다. 특히, 보고서 제20항을 통해 여성차별철폐협약의 이행을 담당하는 주요 기관으로서 국가위원회의 역할이 강조되고 있음을 밝히고 있습니다. 이는 여성차별철폐협약 이행을 위한 별도의 전문기구를 두지 않고, 기존의 국제인권조약을 담당하는 국가위원회가 중심 역할을 맡는다는 점을 시사합니다."
5,대학입학전형제도의 공정성에 대해 연구한 논문을 찾아줘,"관련된 논문은 ""대학입학전형제도의 공정성에 관한 연구""입니다. 이 논문은 양림단에 의해 2020년에 발행되었습니다. 논문에서는 대학입학 전형의 공정성에 대한 심도 깊은 연구를 제공하며, 특히 '깜깜이 전형'에 대한 논란을 다룹니다. 저자는 교육 공정성 개선을 위해 국가 또는 교육청 단위에서 학생부 전형의 투명성을 감시하고, 학생부가 객관적 사실 중심으로 기록될 수 있도록 기재 방식이나 양식의 변화가 필요하다고 주장합니다. 이러한 제안은 대학입학 전형 과정에서의 공정성을 높이기 위한 구체적인 방안들을 모색하는 데 중점을 둡니다."
6,2018년 지방선거에서 여성 유권자의 정치적 태도에 관한 논문을 찾아줘.,"관련된 논문은 ""여성 유권자의 정치 정향과 이슈 평가: 2018년 지방선거를 중심으로""입니다. 저자 강주현이 2020년에 발표한 이 논문은 우리나라의 고속 성장기를 거치며 여성 유권자들이 보다 적극적으로 정치 영역에 참여하기 시작했다는 점을 다룹니다. 이 연구에서는 특히 여성 대표성의 증가와 정치 세력화에 주목하며, 기초의원에서 여성 의원 비율이 20%를 넘고, 국회의원에서도 여성 의원 비율이 지속적으로 상승하여 20대 총선에서는 역대 최고인 17%를 기록했다는 점을 강조합니다. 이를 통해 여성 유권자의 정치적 정향과 이슈 평가에 대한 깊이 있는 분석을 제공합니다."
7,1979년 한국 신군부의 쿠데타와 미국의 반응에 대한 논문을 찾아줘,"관련된 논문은 ""1979년 한국 신군부의 12·12쿠데타와 미국의 관망정책""입니다. 이 논문은 신현익 저자가 2020년에 발행했습니다. 내용은 10·26 박 대통령 살해사건 이후의 사건들을 다루고 있으며, 특히 전두환 보안사령관이 합동수사본부장으로 임명된 후 국가수사기관의 중추 역할을 하게 됨을 언급합니다. 저자는 전두환의 중앙정보부 와해 작업과 정보 장악이 나중에 발생한 12·12군사쿠데타 성공의 주요 요인 중 하나였음을 분석하고, 이 시기 미국의 관망적 태도가 어떠한 영향을 미쳤는지 탐구하고 있습니다. 이 논문은 1979년 당시의 정치적 상황, 군사적 움직임, 국제 관계 등을 깊이 있게 파악할 수 있는 중요한 자료입니다."
8,특수교사와 전문가의 전공과 현장실습 및 취업 지원 인식에 관한 논문을 찾아줘,"관련된 논문은 ""전공과 현장실습 및 취업 지원에 대한 특수교사 및 관련 전문가의 경험과 인식""이라는 제목으로 이미숙 저자에 의해 2020년에 발행되었습니다. 이 논문에서는 전공과의 현장실습 및 취업 지원 개선방안을 탐색하기 위하여 포커스 그룹 인터뷰(FGI)를 활용, 실제 현장실습과 취업 지원이 어떻게 이루어지고 있는지, 그리고 이에 대한 특수교사 및 관련 전문가의 경험과 인식을 분석하였습니다. 연구 결과를 바탕으로 실제 실효성 있는 현장실습 및 취업 지원에 대한 지원 방안을 제안하며, 이는 특수교사와 전문가들이 현장에서 겪고 있는 다양한 문제를 해결하고자하는 실질적인 노력의 일환으로 볼 수 있습니다."
9,장애아동의 낮병원 이용 만족과 돌봄 부담에 관한 논문을 찾아줄 수 있나요?,"관련된 논문은 ""장애아동 부모 및 가족의 낮병원 이용 만족이 돌봄 부담에 미치는 영향""입니다. 저자는 원영미이며, 발행연도는 2020년입니다. 본 연구는 장애아동 및 그의 보호자들이 낮병원에서 제공받는 서비스에 대한 만족도가 돌봄에 대한 부담감을 어떻게 감소시키는지를 분석합니다. 특히 장애아동의 인구사회학적 특성이 돌봄 부담에 미치는 영향을 살펴보고, 낮병원 이용시 장애아동의 연령이 증가함에 따라 돌봄 부담이 감소하는 경향을 확인했습니다. 이러한 결과는 장애아동의 나이가 많아질수록 그들이 이용할 수 있는 재활 서비스 기관의 수가 한정되어 있음을 시사합니다. 또한, 이 연구는 사회복지적 측면에서 정책적 및 실천적 제언을 제공하여 장애아동과 그 가족들의 삶의 질 향상에 기여하고자 합니다."
